"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.645133000E0	2.351802098E-3	-1.318629356E-3	-1.466522616E-1	1.466770452E-1
2.655174000E0	7.876402195E-4	1.496229395E-3	-1.535379428E-1	1.535472531E-1
2.665183000E0	2.302508186E-3	-6.193937268E-4	-1.488970077E-1	1.489160975E-1
2.675224000E0	2.638211454E-3	-3.720227005E-3	-1.533882540E-1	1.534560417E-1
2.685264000E0	-1.574174664E-3	-7.290655654E-4	-1.457541293E-1	1.457644530E-1
2.695304000E0	6.353098021E-3	-2.980070002E-3	-1.438081759E-1	1.439792837E-1
2.705345000E0	6.616890816E-3	1.314170854E-3	-1.544354904E-1	1.545827642E-1
2.715385000E0	6.549239559E-3	-8.144257776E-3	-1.535373580E-1	1.538926307E-1
2.725395000E0	1.215635563E-4	-2.298193295E-3	-1.423107040E-1	1.423293116E-1
2.735435000E0	4.857519015E-3	-3.645291282E-3	-1.369230795E-1	1.370577008E-1
2.745475000E0	5.941379807E-3	6.656689569E-4	-1.441081381E-1	1.442320997E-1
2.755516000E0	9.643514705E-3	2.846872257E-3	-1.468019503E-1	1.471458959E-1
2.765556000E0	3.175140882E-6	-8.869714513E-3	-1.509926498E-1	1.512529409E-1
2.775596000E0	-1.484683999E-3	2.136718780E-3	-1.518913668E-1	1.519136504E-1
2.785606000E0	1.298758530E-4	4.011372663E-3	-1.524895370E-1	1.525423445E-1
2.795646000E0	-6.502870682E-3	-1.588788992E-3	-1.500951022E-1	1.502443053E-1
2.805686000E0	-1.005338511E-3	-5.015768996E-3	-1.450062704E-1	1.450964752E-1
2.815727000E0	3.009294660E-3	-5.624290556E-3	-1.477000827E-1	1.478377588E-1
2.825767000E0	-7.989262593E-3	-8.015207900E-3	-1.484491110E-1	1.488798523E-1
2.835807000E0	-5.646528819E-4	-8.639489533E-3	-1.524901217E-1	1.527357091E-1
2.845817000E0	4.893256694E-3	-1.268932591E-2	-1.506938571E-1	1.513063168E-1
2.855857000E0	-1.530655734E-3	-2.733564181E-3	-1.453056479E-1	1.453394185E-1
2.865898000E0	3.854229599E-3	1.556245582E-3	-1.482988375E-1	1.483570767E-1
2.875938000E0	-2.515780237E-3	-1.596362963E-3	-1.508435458E-1	1.508729692E-1
2.885978000E0	3.093339535E-3	-6.043197876E-3	-1.541372824E-1	1.542867162E-1
2.896018000E0	2.480651833E-3	-2.956936955E-3	-1.521907443E-1	1.522396786E-1
2.906028000E0	8.591731943E-3	3.569176979E-3	-1.505447531E-1	1.508319580E-1
2.916069000E0	4.822376906E-4	-3.403664231E-3	-1.560838205E-1	1.561216721E-1
2.926109000E0	5.427611691E-3	-1.225224654E-2	-1.463540536E-1	1.469662734E-1
2.936149000E0	5.754825077E-5	1.937082047E-3	-1.535385275E-1	1.535507572E-1
2.946189000E0	-2.292674128E-3	-2.771817762E-3	-1.436602414E-1	1.437052688E-1
2.956199000E0	-2.751775917E-3	-9.833335653E-3	-1.441087228E-1	1.444700341E-1
2.966239000E0	2.079064320E-3	-6.356298001E-3	-1.448577511E-1	1.450120447E-1
2.976280000E0	1.458918278E-3	3.338851500E-4	-1.430620712E-1	1.430698995E-1
2.986320000E0	-9.995068267E-3	4.621575298E-3	-1.518931210E-1	1.522917613E-1
2.996360000E0	-1.169840787E-2	-5.610869369E-3	-1.474024594E-1	1.479723610E-1
3.006401000E0	-1.373725088E-3	-1.244625533E-3	-1.523421872E-1	1.523534647E-1
3.016410000E0	7.062452075E-3	-3.344634762E-3	-1.424627316E-1	1.426768892E-1
3.026451000E0	5.636126599E-3	-8.835005807E-3	-1.496472055E-1	1.500136972E-1
3.036491000E0	1.075021790E-2	-1.000889830E-2	-1.485993844E-1	1.493235490E-1
3.046531000E0	1.307487669E-3	1.032408150E-3	-1.471019125E-1	1.471113458E-1
3.056571000E0	-2.252251538E-3	-6.223091120E-3	-1.490472811E-1	1.491941404E-1
